NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NumberOfOfficers,OfficerRace,OfficerGender
1,N,U,B,M,20-29,1,W,M
1,N,U,L,M,40-49,1,W,M
1,N,U,L,M,40-49,1,W,M
1,F,U,B,M,19,1,W,M
1,N,U,B,M,20-29,1,A,M
1,F,U,B,M,15,1,W,M
1,N,U,B,U,U,1,W,M
1,N,U,B,U,U,1,W,M
1,U,U,B,M,20-29,2,W;A,M;M
1,F,U,B,M,19,1,B,M
1,N,U,B,M,20-29,2,W;W,M;M
1,N,U,B,M,20-29,1,L,M
1,N,U,B,M,20-29,1,W,M
1,U,U,L,M,20-29,1,W,M
1,N,U,B,M,0-19,1,L,M
1,F,U,B,M,47,1,B,M
1,N,U,B,M,20-29,1,B,F
1,F,N,B,M,24,1,W,M
1,N,U,L,M,20-29,2,L;L,M;M
1,N,U,B,M,20-29,1,L,M
1,N,U,B,U,U,4,W;L;W;W,M;M;M;F
1,N,U,B,U,U,4,W;L;W;W,M;M;M;F
1,U,U,B,U,U,1,W,M
1,U,U,B,U,U,1,W,M
1,U,U,W,M,40-49,1,W,M
1,N,U,B,M,40-49,1,B,F
1,U,U,U,U,U,1,B,M
1,U,U,W,F,U,1,W,F
1,F,U,B,M,17,1,L,M
1,N,U,B,M,20-29,1,W,M
1,F,Y,B,M,0-19,1,L,M
1,U,U,W,M,40-49,1,B,M
1,N,U,B,M,20-29,1,B,M
1,N,U,B,M,17,1,B,F
1,F,N,B,U,U,1,W,M
1,U,U,B,U,U,1,W,M
1,N,U,B,M,0-19,1,W,F
1,F,N,B,M,20-29,2,W;L,M;M
1,N,U,B,M,20-29,1,B,M
1,N,U,L,M,30-39,1,W,M
1,N,U,B,M,0-19,1,W,F
1,N,U,B,M,30-39,2,L;B,M;M
1,N,U,W,M,50-59,6,W;W;B;B;B;L,F;F;M;F;M;F
1,N,U,B,U,U,1,L,M
1,N,U,B,U,U,1,L,M
1,N,U,B,M,30-39,1,L,M
1,N,U,B,M,20-29,1,W,M
1,N,U,B,M,20-29,1,L,M
1,N,U,B,U,U,1,L,M
1,N,U,B,U,U,1,L,M
1,N,U,B,U,U,1,L,M
1,N,U,B,M,0-19,1,W,M
1,N,U,B,M,30-39,1,W,M
1,F,U,L,M,50-59,1,L,M
1,N,U,B,M,20-29,2,W;B,M;M
1,N,U,B,M,20-29,1,L,F
1,N,U,B,M,20-29,1,W,M
1,N,U,B,M,40-49,3,L;W;W,M;M;M
1,F,U,L,M,0-19,1,W,M
1,F,U,B,M,16,3,L;W;L,M;M;M
1,N,U,B,M,20-29,1,W,M
1,F,U,L,M,20-29,4,W;L;L;W,M;M;M;M
1,N,U,B,M,20-29,5,B;W;W;W;L,F;M;M;M;M
1,N,U,W,M,30-39,1,W,F
1,N,U,B,M,40-49,3,W;W;B,M;M;M
1,N,U,L,M,20-29,1,L,M
1,N,U,W,U,U,1,W,M
1,N,U,W,U,U,1,W,M
1,N,U,L,M,20-29,1,W,M
1,U,U,B,M,40-49,3,B;W;W,M;M;M
1,N,U,B,M,0-19,1,A,M
1,N,U,B,M,20-29,2,W;A,M;M
1,F,Y,B,M,30-39,1,W,M
1,N,U,W,M,30-39,2,W;L,M;M
1,N,U,B,F,0-19,1,L,M
1,F,U,B,M,20-29,1,L,M
1,N,U,B,M,20-29,2,B;B,M;M
1,N,U,B,M,20-29,1,W,M
1,N,U,B,M,0-19,1,W,M
1,N,U,W,F,20-29,1,W,M
1,N,U,B,M,30-39,2,W;W,M;M
1,F,Y,B,M,30-39,2,W;W,M;M
1,N,U,B,M,20-29,1,W,M
1,N,U,B,M,20-29,1,O,M
1,N,U,B,M,20-29,2,L;A,M;M
1,N,U,L,M,30-39,1,L,M
1,N,U,B,M,30-39,2,W;L,M;M
1,N,U,L,M,20-29,1,L,M
1,N,U,B,M,20-29,1,B,M
1,N,U,B,F,30-39,1,B,M
1,F,Y,B,M,20-29,1,W,M
1,U,U,B,M,20-29,1,W,M
1,N,U,B,M,30-39,1,B,M
1,N,Y,L,M,25,1,L,M
1,N,Y,W,U,U,1,L,M
1,N,Y,B,U,U,1,L,M
1,U,U,U,U,U,NA,,U
1,F,Y,B,U,U,1,W;W,M;M
1,N,Y,B,U,U,1,W;W,M;M
1,N,Y,B,U,U,1,W;W,M;M
1,N,U,B,U,U,NA,W,M
1,N,U,B,U,U,NA,W,M
1,U,U,U,U,U,NA,W,M
1,N,N,B,M,21,1,B,M
1,N,Y,B,M,20,1,W,M
1,N,Y,L,U,U,2,L;L,M;M
1,N,U,L,U,U,2,L;L,M;M
1,N,Y,B,M,22,1,L,M
1,F,Y,W,M,26,2,W;W,M;M
1,U,U,U,U,U,NA,,U
1,N,Y,B,U,U,1,W,M
1,N,Y,B,U,U,1,W,M
1,N,N,B,M,18,2,L;W,M;M
1,F,Y,L,U,U,2,B;B,M;F
1,N,Y,B,U,U,2,B;B,M;F
1,F,U,U,U,U,NA,,U
1,N,N,L,U,U,1,A,M
1,N,N,L,U,U,1,A,M
1,N,U,L,M,0-19,1,B,M
1,N,Y,B,M,31,8,W;W;W;W;W;W;W;L,M;M;M;M;M;M;M;M;M
1,N,U,B,M,U,1,W,M
1,N,U,B,M,20-29,1,W,M
1,N,U,B,M,20-29,1,L,M
1,N,U,B,M,20-29,2,W;W,M;M
1,N,U,B,M,20-29,2,W;W,M;M
1,N,U,L,M,26,3,W;W;A,M;M;M
1,N,U,B,M,0-19,1,B,M
1,N,U,B,M,30-39,2,B;L,M;M
1,N,U,W,F,20-29,1,W,M
1,N,U,L,M,20-29,2,W;W,M;M
1,N,U,B,M,40,1,B,M
1,N,U,B,M,20-29,1,W,M
1,N,U,L,M,0-19,1,W,M
1,N,U,B,M,32,2,W;L,M;M
1,N,U,B,M,50-59,1,W,M
1,N,U,B,M,0-19,1,W,M
1,F,Y,B,U,U,2,B;B,M;M
1,N,U,B,U,U,2,B;B,M;M
1,N,U,B,M,22,1,A,M
1,N,U,B,M,0-19,2,W;A,M;M
1,U,U,L,M,20-29,3,W;W;W,M;M;M
1,N,U,B,M,20-29,1,W,M
1,N,Y,B,M,27,2,U;W,M;F
1,U,U,U,M,U,1,L,M
1,F,N,L,M,44,1,W,F
1,F,U,B,M,17,1,W,M
1,N,Y,B,U,U,2,W;W,M;M
1,N,Y,B,U,U,2,W;W,M;M
1,N,U,B,M,0-19,1,W,M
1,N,U,B,M,30-39,2,W;W,M;M
1,F,N,B,M,40,3,W;B;L,M;M;M
1,N,Y,B,M,28,1,B,M
1,N,Y,B,U,U,1,B,M
1,N,Y,B,U,U,1,B,M
1,N,Y,B,U,U,1,B,M
1,F,N,B,F,60,1,W,M
1,N,U,B,M,40-49,1,W,M
1,N,U,B,M,40-49,1,W,M
1,N,U,B,M,20-29,1,W,M
1,N,U,B,U,U,2,L;B,M;M
1,N,U,B,U,U,2,L;B,M;M
1,N,U,B,M,40-49,1,L,M
1,U,U,B,M,20-29,1,L,M
1,F,U,B,M,16,1,L,M
1,N,U,B,M,17,2,W;W,M;M
1,U,U,L,M,30-39,1,L,M
1,N,U,B,M,0-19,1,W,M
1,N,U,B,M,20-29,2,W;W,M;M
1,N,U,B,M,30-39,2,B;L,M;M
1,N,U,B,U,U,1,W,M
1,N,U,B,U,U,1,W,M
1,F,U,B,M,20,6,B;L;B;B;W;W,M;F;M;M;M;M
1,N,U,B,M,U,1,W,M
1,N,U,B,M,20-29,2,B;B,M;M
1,N,U,B,M,0-19,1,W,M
1,N,U,B,M,20-29,1,B,M
1,N,U,B,M,20-29,1,W,M
1,F,Y,B,M,26,2,W;L,M;M
1,N,U,L,M,20-29,1,L,M
